Date,Close/Last,Volume,Open,High,Low
09/30/2021,$26.45,9476012,$27.9,$28,$26.065
09/29/2021,$29.06,3074503,$29.71,$30.13,$28.99
09/28/2021,$29.46,2816580,$29.73,$30.24,$29.185
09/27/2021,$29.82,3057973,$29.64,$30.52,$29.56
09/24/2021,$29.41,2954959,$29.13,$29.78,$28.83
09/23/2021,$29.46,5273877,$28.85,$29.9999,$28.78
09/22/2021,$28.49,2605112,$28,$28.83,$27.86
09/21/2021,$27.71,2432090,$28.01,$28.25,$27.4
09/20/2021,$27.78,3577071,$27.3,$27.79,$27.0722
09/17/2021,$28.12,5152955,$28.11,$28.35,$27.41
09/16/2021,$27.93,4977062,$27.19,$28.43,$27.14
09/15/2021,$27,3559282,$26.66,$27.17,$26.38
09/14/2021,$26.59,4146316,$26.94,$27.29,$26.35
09/13/2021,$27.02,4112108,$26.5,$27.21,$26.12
09/10/2021,$26.52,4110464,$27.28,$27.5,$26.42
09/09/2021,$27.14,5144642,$27.06,$27.69,$26.68
09/08/2021,$27.18,7427021,$28,$28.1099,$26.9565
09/07/2021,$27.93,5280162,$27.24,$28.059,$27.17
09/03/2021,$27.08,6765121,$28.39,$28.45,$26.98
09/02/2021,$28.39,4620055,$28.04,$28.51,$27.81
09/01/2021,$28.41,5209941,$28.78,$29.11,$28.4
08/31/2021,$28.61,6013238,$28.11,$28.72,$27.9
08/30/2021,$28.03,9189976,$28.91,$29.44,$27.94
08/27/2021,$29.22,9735761,$28.41,$29.7842,$28.3928
08/26/2021,$28.51,18347950,$30.21,$30.49,$28.41
08/25/2021,$31.14,37472360,$33.1,$33.58,$30.84
08/24/2021,$37.81,8432402,$36.81,$38.14,$36.51
08/23/2021,$36.67,5446027,$35.83,$37.25,$35.79
08/20/2021,$35.11,4620025,$34,$35.33,$33.89
08/19/2021,$33.94,6326339,$32.1,$34.63,$31.85
08/18/2021,$32.62,3606478,$33.07,$34.05,$32.59
08/17/2021,$33.39,3519677,$34.54,$34.54,$32.7
08/16/2021,$35.15,2816712,$35.52,$36.26,$34.79
08/13/2021,$35.83,2164104,$36.52,$36.665,$35.64
08/12/2021,$36.8,3468755,$38.32,$38.48,$35.91
08/11/2021,$37.58,1689664,$37.13,$37.7,$36.56
08/10/2021,$36.97,3733053,$35.95,$37.31,$35.79
08/09/2021,$35.97,1981273,$35.9,$36.24,$35.16
08/06/2021,$36,1915215,$35.65,$36.63,$35.38
08/05/2021,$34.97,2081207,$33.83,$35.065,$33.83
08/04/2021,$33.57,2307016,$34.28,$35.43,$33.36
08/03/2021,$34.63,3334623,$34.3,$34.86,$32.78
08/02/2021,$34.3,4363220,$33.32,$34.48,$32.98
07/30/2021,$33.1,4629166,$32.38,$34.0849,$32.13
07/29/2021,$32.51,2326789,$32.49,$33.6499,$32.29
07/28/2021,$32.25,1814265,$32,$32.67,$31.46
07/27/2021,$31.79,1761022,$32.08,$32.42,$31.111
07/26/2021,$32.38,3330492,$31.08,$32.53,$31.08
07/23/2021,$31.08,4032801,$32.16,$32.31,$30.79
07/22/2021,$32,2958993,$33.32,$33.485,$31.9
07/21/2021,$33.54,2870508,$33.57,$34.82,$33.4
07/20/2021,$33.07,2522245,$31.77,$33.265,$31.42
07/19/2021,$31.58,3572678,$31.4,$32.19,$30.75
07/16/2021,$32.7,2754026,$33.92,$34,$32.23
07/15/2021,$33.27,2517173,$33.77,$34.0899,$32.8501
07/14/2021,$34.03,2331621,$35.05,$35.85,$33.98
07/13/2021,$34.85,2253177,$36.03,$36.37,$34.75
07/12/2021,$36.3,2051231,$35.39,$36.5898,$35.09
07/09/2021,$36,2864127,$34.21,$36.043,$34.21
07/08/2021,$33.76,2954516,$33.76,$34.3,$32.98
07/07/2021,$34.8,2235013,$36.125,$36.33,$34.49
07/06/2021,$36.25,2103168,$36.66,$36.905,$35.82
07/02/2021,$36.89,1710851,$36.47,$37.14,$35.87
07/01/2021,$36.5,2686348,$36.87,$37.41,$36.295
06/30/2021,$36.57,1936896,$36.54,$36.83,$36.15
06/29/2021,$36.45,2869913,$36.1,$36.67,$35.67
06/28/2021,$35.84,2325846,$36.36,$36.55,$35.57
06/25/2021,$36.42,5379823,$36.5,$37.05,$36.07
06/24/2021,$36.07,2247674,$35.47,$36.13,$34.88
06/23/2021,$35.16,3316872,$34.45,$35.35,$33.9539
06/22/2021,$34.46,4870349,$32.78,$34.605,$32.77
06/21/2021,$32.91,3485485,$32.4,$32.99,$31.83
06/18/2021,$31.9,4879347,$32.93,$33.23,$31.83
06/17/2021,$33.42,3049173,$34.39,$34.54,$32.94
06/16/2021,$34.29,2914261,$33.26,$34.7,$32.72
06/15/2021,$33.49,2363751,$34.22,$34.57,$33.22
06/14/2021,$34.26,2126674,$35.3,$35.4742,$34.05
06/11/2021,$35.27,1679912,$34.53,$35.37,$34.33
06/10/2021,$34.33,1947740,$35.21,$35.86,$34.28
06/09/2021,$35.01,2335505,$34.91,$35.93,$34.5973
06/08/2021,$34.85,2073420,$34.53,$35.13,$33.94
06/07/2021,$34.51,2591253,$34.05,$34.58,$33.82
06/04/2021,$33.91,3223901,$34.71,$34.74,$33.33
06/03/2021,$34.47,3181888,$35.34,$35.42,$34.43
06/02/2021,$35.56,4614359,$34.1,$35.88,$33.49
06/01/2021,$34.23,4668585,$34.03,$35.2374,$33.89
05/28/2021,$33.54,6103848,$34.14,$34.55,$33.321
05/27/2021,$34.3,5323174,$34.55,$34.94,$33.74
05/26/2021,$34.37,21636250,$33.9,$34.98,$32.5523
05/25/2021,$36.48,4959477,$37.37,$38.06,$36.33
05/24/2021,$37.55,2675886,$38.18,$38.43,$37.1301
05/21/2021,$37.81,1597410,$38.37,$38.685,$37.79
05/20/2021,$38.11,4120168,$40.44,$40.46,$37.6
05/19/2021,$40.66,2703734,$41.22,$41.79,$39.98
05/18/2021,$41.98,2342637,$43.5,$43.8,$41.59
05/17/2021,$43.11,3415708,$40.7,$43.25,$40.7
05/14/2021,$40.95,4216372,$37.55,$41,$37.35
05/13/2021,$36.81,2577220,$36.26,$38.23,$35.82
05/12/2021,$36.04,2489277,$37.73,$38.525,$35.95
05/11/2021,$37.99,3087363,$38.12,$38.76,$36.99
05/10/2021,$39.34,3828763,$40,$40.88,$39.18
05/07/2021,$39.84,2198385,$38.45,$39.98,$38.27
05/06/2021,$38.42,2114100,$38.71,$39.3899,$37.78
05/05/2021,$38.65,5466157,$38.65,$41.67,$37.8
05/04/2021,$38.2,2679318,$38.48,$38.74,$37.16
05/03/2021,$38.88,2856514,$36.88,$39.11,$36.87
04/30/2021,$36.68,1940606,$37.47,$37.85,$36.645
04/29/2021,$37.65,1803569,$38.4,$38.6118,$37.1599
04/28/2021,$38.19,1800855,$37.6,$38.79,$37.4
04/27/2021,$37.51,4181792,$36.31,$37.84,$36.31
