Year,Month,LiveOutcome
2017,1,210630
2017,2,201552
2017,3,215721
2017,4,208488
2017,5,227617
2017,6,259491
2017,7,267703
2017,8,276518
2017,9,263512
2017,10,259587
2017,11,242840
2017,12,250897
2018,1,241330
2018,2,221382
2018,3,246734
2018,4,230827
2018,5,284495
2018,6,286174
2018,7,295127
2018,8,309543
2018,9,275854
2018,10,287650
2018,11,265027
2018,12,275375
2019,1,255634
2019,2,234498
2019,3,259826
2019,4,246497
2019,5,278386
2019,6,308613
2019,7,319201
2019,8,338580
2019,9,294593
2019,10,308353
2019,11,291299
2019,12,289716
2020,1,268460
2020,2,250323
2020,3,225349
2020,4,146384
2020,5,188248
2020,6,232238
2020,7,258378
2020,8,261580
2020,9,250412
2020,10,267505
2020,11,235592
2020,12,243564
