Date,Close/Last,Volume,Open,High,Low
09/30/2021,$219.94,10366950,$226.08,$226.15,$219.46
09/29/2021,$225.36,16808040,$227.8,$229.9399,$224.86
09/28/2021,$218.41,9639787,$222.9,$224.577,$216.4201
09/27/2021,$224.16,9749201,$224,$228.6,$223.8775
09/24/2021,$221.39,6498169,$219.13,$222.41,$218.66
09/23/2021,$221.1,9344582,$217.81,$222.62,$217.1501
09/22/2021,$216.98,10953030,$210,$217.99,$209.65
09/21/2021,$208.51,7139027,$210.25,$211.76,$207.72
09/20/2021,$209.5,10567360,$210.81,$212.43,$206.53
09/17/2021,$213.36,7944216,$213.12,$215.37,$211.91
09/16/2021,$213.36,6370944,$213.96,$216.31,$213.31
09/15/2021,$214.22,7916346,$211.79,$214.35,$210.32
09/14/2021,$211.57,9947021,$215.84,$216.11,$210.711
09/13/2021,$214.48,10175860,$211.35,$215.64,$209.88
09/10/2021,$210.3,6959706,$215.16,$215.89,$210.12
09/09/2021,$213.94,9242766,$211.15,$216.61,$210.72
09/08/2021,$211.38,8877646,$213.6,$216.08,$210.51
09/07/2021,$214.24,13196120,$215.91,$216.71,$212.17
09/03/2021,$218.17,6400289,$219.454,$221.18,$217.46
09/02/2021,$220.83,8905096,$218.95,$223.84,$218.08
09/01/2021,$218.12,7157411,$220,$221.76,$217.62
08/31/2021,$219.5,6764472,$217.33,$221.325,$217.0854
08/30/2021,$217.66,7587846,$222.35,$222.37,$217.53
08/27/2021,$221.75,7684922,$217.47,$222.43,$216.86
08/26/2021,$216.5,8341440,$221.41,$222.9,$215.91
08/25/2021,$221.03,6528930,$221.5,$222.3,$219.1
08/24/2021,$221.43,8942578,$220.11,$223.1,$219.8
08/23/2021,$219.4,10392070,$215.83,$220.18,$215.38
08/20/2021,$212.67,9335698,$212.31,$214.7399,$210.94
08/19/2021,$212.16,11404360,$216.3,$218.2965,$211.73
08/18/2021,$219,9000859,$221.73,$223.65,$218.9
08/17/2021,$222.22,13123950,$226.2,$226.24,$219.8
08/16/2021,$229.06,7626887,$231.9,$232.03,$227.14
