Date,Close/Last,Volume,Open,High,Low
09/30/2021,$169.17,13977980,$173.1,$173.68,$169.1
09/29/2021,$172.68,6240771,$174.25,$174.96,$172.59
09/28/2021,$174.52,9133118,$177.75,$178,$173.86
09/27/2021,$178.26,7754953,$176.63,$179.4502,$175.96
09/24/2021,$176,5712778,$175.3,$176.7,$175.0772
09/23/2021,$176.25,8052869,$174.94,$177.19,$174.37
09/22/2021,$173.65,14214530,$172.94,$175.341,$171.66
09/21/2021,$171.17,23216030,$180.32,$182.23,$169.03
09/20/2021,$178.61,8056648,$179.74,$180.88,$176.55
09/17/2021,$183.47,10039200,$182.91,$185.9,$182.73
09/16/2021,$183.34,5678224,$183.97,$184.64,$182.12
09/15/2021,$184.41,5933400,$182.06,$184.66,$181.103
09/14/2021,$182.4,6185890,$184.96,$185.13,$182.15
09/13/2021,$184.98,6818241,$185.115,$185.8,$183.5
09/10/2021,$184.12,5572248,$186.36,$187.1,$184.01
09/09/2021,$185.91,7190666,$185.15,$187.5799,$184.57
09/08/2021,$185.15,8633959,$184.34,$187.46,$183.92
09/07/2021,$184.34,10705000,$181.02,$185.55,$180.05
09/03/2021,$181,6848827,$181.82,$181.82,$179.13
09/02/2021,$181.86,6497070,$184.16,$185.3,$181.55
09/01/2021,$183.48,7302824,$181.96,$184.21,$181.78
08/31/2021,$181.3,8620017,$179.25,$182.98,$178.53
08/30/2021,$179.98,6421287,$180.5,$181.39,$178.87
08/27/2021,$180.14,8696960,$176.28,$180.54,$176.28
08/26/2021,$176.56,4563000,$178.34,$178.94,$176.34
08/25/2021,$178.31,4842077,$178.16,$178.59,$176.88
08/24/2021,$178.47,5886947,$177.92,$180.08,$177.76
08/23/2021,$177.66,7395878,$177.08,$178.31,$175.9101
08/20/2021,$175.12,6239617,$173,$175.21,$172.65
08/19/2021,$173.25,8478606,$174,$174.68,$172.56
08/18/2021,$174.74,7063511,$175.9,$176.7925,$174.5
08/17/2021,$175.83,8534526,$177.15,$178.45,$174.9232
08/16/2021,$179.09,8755051,$180.505,$180.59,$176.51
08/13/2021,$181.08,32504620,$186.29,$187.5799,$180.88
08/12/2021,$179.29,11266420,$178.09,$179.72,$176.45
08/11/2021,$178.09,5359894,$177.36,$178.49,$176.51
08/10/2021,$177.07,5184959,$176.25,$177.4,$175.58
08/09/2021,$176.72,5338969,$177,$177.31,$175.062
08/06/2021,$177.13,5505241,$177.43,$178.81,$176.63
08/05/2021,$176.71,8864174,$172.49,$177.12,$172.49
08/04/2021,$172.58,5665827,$172.5,$173.25,$171.34
08/03/2021,$172.99,9931347,$176.02,$176.13,$170.92
08/02/2021,$175.55,5847175,$177.22,$178.82,$175.31
07/30/2021,$176.02,6813443,$177.53,$179.2,$175.14
07/29/2021,$178.35,6209059,$179.81,$181.42,$178.27
07/28/2021,$179.1,5926934,$179.69,$180.35,$177.55
07/27/2021,$179.5,6684123,$178.25,$179.56,$176.565
07/26/2021,$178.74,5641039,$175.62,$178.78,$175.34
07/23/2021,$176.14,5126271,$175.66,$176.5,$174.03
07/22/2021,$175.13,5713745,$176.7,$176.72,$173.9
07/21/2021,$176.89,6302229,$176.5,$177.9,$175.32
07/20/2021,$176.75,8372402,$173.7,$177.51,$172.87
07/19/2021,$172.95,14651780,$175.71,$176.4799,$172.16
07/16/2021,$179.31,8348797,$184.94,$185.29,$178.92
07/15/2021,$184.15,7866968,$183.45,$185.42,$183.05
07/14/2021,$183.42,8787307,$185.2,$186.29,$182.08
07/13/2021,$183.65,12534550,$184.09,$185.67,$181.8401
07/12/2021,$184.38,21835510,$177.71,$184.99,$177.37
07/09/2021,$177.04,7873266,$174.7,$177.518,$173.93
07/08/2021,$172.8,6960105,$170.18,$173.75,$169.81
07/07/2021,$172.82,6757282,$172.86,$174.32,$171.99
07/06/2021,$173.69,11557860,$176.76,$177,$172.22
07/02/2021,$177.11,11102750,$177.86,$178.36,$174.62
07/01/2021,$177.26,5887078,$175.35,$177.6,$174.6
06/30/2021,$175.77,7481883,$173.89,$175.98,$173.34
06/29/2021,$173.93,13498290,$176.64,$177.02,$173.8
06/28/2021,$176.57,9881440,$178.5,$178.66,$174.99
06/25/2021,$178.35,7431816,$178.83,$179.09,$177.485
06/24/2021,$177.93,7549422,$176.13,$178.24,$175.78
06/23/2021,$175.33,9174184,$173.62,$175.45,$172.94
06/22/2021,$173.5,8097070,$174.37,$174.7,$172.35
06/21/2021,$173.97,9196930,$172.13,$174.26,$171.3124
06/18/2021,$172.42,12357540,$173.14,$173.86,$172.115
06/17/2021,$174.65,8905994,$174.59,$176.26,$173.84
06/16/2021,$174.66,8335986,$176.01,$176.26,$173.55
06/15/2021,$175.86,7894959,$178.18,$178.7,$175.6233
06/14/2021,$178.18,10169970,$177.65,$178.87,$176.9
06/11/2021,$177.38,5476308,$177.45,$178.49,$176.81
06/10/2021,$176.57,5252999,$176.44,$177.61,$175.55
06/09/2021,$176.04,5082352,$176.31,$177.33,$175.88
06/08/2021,$176.33,5356212,$175.97,$177.1199,$175.192
06/07/2021,$176.99,5178102,$177.97,$178.07,$176.4
06/04/2021,$177.18,6343364,$175.93,$177.52,$175.61
06/03/2021,$176.24,5583852,$176.268,$176.97,$175.4155
06/02/2021,$177,7851747,$179.04,$179.1,$176.93
06/01/2021,$178.84,7475585,$180.18,$181.01,$178.74
05/28/2021,$178.65,7130259,$179.51,$180.14,$178.08
05/27/2021,$179.04,13567830,$177.2,$179.59,$176.79
05/26/2021,$176.47,8086203,$176.62,$177.9,$176.2
05/25/2021,$176.17,8089738,$175.6,$177.45,$175.4
05/24/2021,$174.31,7346737,$172.45,$175.11,$171.75
05/21/2021,$172.4,8105719,$172.22,$173.1185,$171.52
05/20/2021,$171.36,7400700,$169.21,$171.9,$168.975
05/19/2021,$169.27,9250998,$167.71,$169.4,$167.095
05/18/2021,$169.68,10400960,$170.26,$171.26,$169.45
05/17/2021,$170.08,17739780,$172.7,$172.99,$168.57
05/14/2021,$173.7,33149430,$172.93,$174.91,$168.78
05/13/2021,$178.34,12332220,$178.37,$180.75,$175.796
05/12/2021,$177.85,8988117,$180.7,$182.46,$177.58
05/11/2021,$181.67,10865550,$181.8,$182.25,$178.43
05/10/2021,$184.3,8260306,$185.7,$186.9718,$184.03
05/07/2021,$184.84,6888401,$182,$185.12,$181.51
05/06/2021,$181.79,6944863,$182.78,$182.99,$179.81
05/05/2021,$181.51,4056789,$185.01,$185.05,$181.36
05/04/2021,$184.25,7069321,$184.87,$185.63,$182.31
05/03/2021,$185.51,7542779,$187.69,$189.22,$185.25
04/30/2021,$186.02,7866277,$184.29,$186.32,$183.54
04/29/2021,$185.33,5958302,$184.8,$185.55,$182.75
04/28/2021,$183.39,5199290,$184.79,$184.79,$182.82
04/27/2021,$184.64,4869989,$184.99,$185.81,$184.15
04/26/2021,$184.27,6178311,$183.96,$185.6,$183.26
04/23/2021,$183.02,6078995,$182.35,$183.895,$181.96
04/22/2021,$182.76,7378274,$184.22,$184.88,$181.2588
04/21/2021,$183.11,8400197,$181.29,$183.375,$178.86
04/20/2021,$182.79,10765800,$187.29,$188.08,$181.82
04/19/2021,$187.43,7625755,$187.51,$190.33,$185.65
04/16/2021,$187.26,9453501,$187.57,$189.47,$186.2
04/15/2021,$185.93,7262535,$188.09,$188.9,$185.695
04/14/2021,$187.46,9089939,$185.97,$190.4,$185.71
04/13/2021,$185.49,6826463,$185.59,$186.44,$184.6
04/12/2021,$186.49,6662530,$187.745,$187.85,$185.48
04/09/2021,$187.89,6089323,$188.17,$188.22,$186.15
04/08/2021,$187.32,7762950,$187.2,$188.05,$185.6344
04/07/2021,$187.56,6238712,$189.8,$190.3305,$186.945
