Date,Close/Last,Volume,Open,High,Low
09/30/2021,$58.82,31289620,$60.12,$60.17,$58.81
09/29/2021,$59.88,23422800,$59.84,$60.1858,$59.05
09/28/2021,$59.92,37619270,$59.9,$60.48,$59.51
09/27/2021,$59.3,32972240,$58.85,$59.8,$58.82
09/24/2021,$57.59,22328570,$56.7,$57.82,$56.68
09/23/2021,$57.08,23069410,$55.42,$57.2399,$55.28
09/22/2021,$55.21,25690630,$54.43,$55.905,$54.37
09/21/2021,$53.64,19696790,$54.37,$54.51,$53.25
09/20/2021,$53.69,27555060,$53.78,$54.17,$52.96
09/17/2021,$55.16,30034430,$55.34,$56.75,$55.1
09/16/2021,$55.82,17907200,$56.46,$56.46,$55.5
09/15/2021,$56.42,23240880,$55.37,$56.534,$55.31
09/14/2021,$54.58,19940300,$55.69,$55.77,$54.41
09/13/2021,$55.37,22052270,$54.65,$55.925,$54.62
09/10/2021,$53.98,15123690,$55.19,$55.23,$53.95
09/09/2021,$54.09,19110780,$53.62,$55,$53.3
09/08/2021,$54.05,18756730,$54.79,$55.18,$54.01
09/07/2021,$54.55,14356410,$54.67,$55.27,$54.47
09/03/2021,$54.87,13847890,$55.12,$55.32,$54.595
09/02/2021,$55.08,23302230,$54.29,$55.64,$54.27
09/01/2021,$53.77,21644070,$54.49,$54.755,$53.6
08/31/2021,$54.52,27104130,$54.93,$55.31,$54.46
08/30/2021,$55.16,14086120,$56.24,$56.34,$55.12
08/27/2021,$55.77,15822450,$55.4,$56.2139,$55.4
08/26/2021,$54.71,11842620,$55.2,$55.54,$54.625
08/25/2021,$55.46,13270320,$55.24,$55.77,$54.8701
08/24/2021,$55.36,17915560,$55.29,$55.85,$55.01
08/23/2021,$54.91,21632610,$53.95,$55.06,$53.95
08/20/2021,$52.74,16918280,$52.27,$53.135,$52.11
08/19/2021,$52.73,30923510,$53.47,$53.705,$52.1
08/18/2021,$54.39,21890520,$55.419,$55.805,$54.31
08/17/2021,$55.56,16243660,$55.5,$56.2967,$54.995
08/16/2021,$55.94,16969050,$56.02,$56.09,$55.2738
08/13/2021,$56.77,20062990,$57.03,$57.07,$56.3
08/12/2021,$57.35,19227450,$57.4,$57.79,$56.87
08/11/2021,$58.35,18278630,$58.19,$58.5,$57.72
08/10/2021,$58.18,16340240,$57.42,$58.36,$57.3
08/09/2021,$57.2,17828210,$57.13,$57.52,$56.83
08/06/2021,$57.86,14888490,$57.66,$58.07,$57.53
08/05/2021,$57.2,15180190,$57.13,$57.7,$56.83
08/04/2021,$56.84,20868320,$57.19,$57.875,$56.81
08/03/2021,$58.2,18208180,$57.57,$58.41,$56.9299
08/02/2021,$57.58,20873770,$57.55,$59.06,$57.4
07/30/2021,$57.57,28652810,$58.88,$58.88,$57.32
07/29/2021,$58.93,18607820,$59,$59.33,$58.56
07/28/2021,$58.22,16855290,$58,$58.625,$57.62
07/27/2021,$57.83,16861420,$58.01,$58.01,$57.205
07/26/2021,$58.48,18387610,$57.16,$58.65,$57
07/23/2021,$57.04,14088190,$57.29,$57.29,$56.47
07/22/2021,$57.11,13493810,$57.73,$57.7397,$56.66
07/21/2021,$57.76,20908730,$56.86,$58.3,$56.83
07/20/2021,$55.96,26756120,$55.5,$56.6,$55.03
07/19/2021,$55.35,37969060,$55.64,$56.2,$54.595
07/16/2021,$57.32,27049510,$59.18,$59.26,$57.15
07/15/2021,$58.95,15851100,$59.17,$59.7,$58.765
07/14/2021,$59.53,21573590,$61.17,$61.73,$59.355
07/13/2021,$60.88,17147350,$61,$61.51,$60.5099
07/12/2021,$61.17,21809420,$60.42,$61.5,$60.16
07/09/2021,$61.23,20085990,$60.695,$61.45,$60.2375
07/08/2021,$60.14,18935950,$59.45,$60.705,$59.31
07/07/2021,$60.41,21671390,$61.18,$61.81,$59.62
07/06/2021,$61.37,22110790,$62.75,$62.76,$60.9
07/02/2021,$63.17,14569540,$63.01,$63.32,$62.421
07/01/2021,$63.26,22530260,$64.33,$64.42,$62.77
06/30/2021,$63.08,17875490,$62.7,$63.23,$62.45
06/29/2021,$62.62,19579250,$63.21,$63.77,$62.585
06/28/2021,$63.01,20570050,$64.56,$64.56,$62.75
06/25/2021,$64.66,18438310,$64.61,$64.925,$64.359
06/24/2021,$64.52,19568380,$64.15,$64.56,$63.805
06/23/2021,$64.26,20701590,$64.05,$64.7,$63.58
06/22/2021,$63.79,25140400,$62.85,$64.01,$62.23
06/21/2021,$62.59,33145430,$60.93,$62.7,$60.9
06/18/2021,$60.4,39590710,$61,$61.55,$60.24
06/17/2021,$61.99,28491850,$63.86,$64.46,$61.27
06/16/2021,$64.1,24803170,$64.32,$64.8,$63.56
06/15/2021,$64.33,30717110,$62.48,$64.4,$62.35
06/14/2021,$62.07,16997230,$62.3,$62.78,$61.57
06/11/2021,$62.17,17631710,$63.01,$63.1922,$62.14
06/10/2021,$62.75,27488720,$63.61,$63.975,$62.25
