Date,Close/Last,Volume,Open,High,Low
09/29/2021,$86.88,402010,$89,$91.01,$86.8378
09/28/2021,$88.6,655414,$90.11,$90.48,$87.41
09/27/2021,$91.08,469099,$90.53,$92.41,$89.1
09/24/2021,$91.07,499909,$93.68,$94.02,$90.95
09/23/2021,$94.28,404245,$94.64,$95.05,$92.685
09/22/2021,$94.06,347650,$95.5,$95.835,$93.9
09/21/2021,$95.18,408978,$96.38,$97.32,$94.16
09/20/2021,$95.92,710596,$93.69,$97.725,$93.16
09/17/2021,$96.14,774460,$93.74,$96.23,$93.65
09/16/2021,$93.6,377538,$91.09,$93.7492,$90.7
09/15/2021,$92.12,408544,$91.73,$92.22,$90.7483
09/14/2021,$92.21,309837,$95.1,$95.24,$92.03
09/13/2021,$94.65,528379,$92.398,$94.85,$89.87
09/10/2021,$92.09,564375,$93.2,$93.63,$91.915
09/09/2021,$92.88,631789,$93.65,$95.1231,$92.81
09/08/2021,$94.34,560153,$97.97,$98.1,$94.25
09/07/2021,$98.18,350324,$97.83,$98.56,$96.65
09/03/2021,$97.08,322470,$98.22,$98.22,$96.64
09/02/2021,$98.63,502980,$98.86,$100.07,$97.67
09/01/2021,$98.32,934236,$96.11,$99.26,$95.61
08/31/2021,$95.6,782376,$96.13,$96.9,$94.72
08/30/2021,$95.98,612626,$98.63,$99.31,$95.85
08/27/2021,$98.63,656623,$97.69,$100.05,$97.69
08/26/2021,$97.95,709414,$100,$101.21,$96.96
08/25/2021,$100.22,843659,$98.436,$100.46,$97.94
08/24/2021,$97.82,489426,$98.83,$99.8899,$97.65
08/23/2021,$98.42,867486,$98,$100.74,$97.5
08/20/2021,$97.75,630837,$93.85,$97.88,$93.695
08/19/2021,$93.5,508077,$94.51,$94.9699,$92.91
08/18/2021,$95.75,339756,$95.34,$97.8885,$94.61
08/17/2021,$95.34,521473,$95.02,$95.84,$92.37
08/16/2021,$96.44,617835,$98.79,$98.79,$95.755
08/13/2021,$99.33,442971,$100.9,$101.02,$98.885
08/12/2021,$101.32,389388,$102,$103.26,$100.2083
08/11/2021,$101.58,447741,$101.9,$102.34,$98.51
08/10/2021,$101.5,511131,$104.36,$105.47,$101.42
08/09/2021,$103.41,678875,$103.9123,$104.7799,$100.19
08/06/2021,$103.24,1107114,$111.81,$111.81,$103.18
